feature,lr_coef,abs_coef
INCOME,-0.2411,0.2411
FOODHOME,0.2133,0.2133
DEBT,-0.1674,0.1674
CONSPAY,0.1602,0.1602
FOODAWAY,-0.1456,0.1456
AGE,-0.0913,0.0913
CC_TO_INC,0.0798,0.0798
LIQ_TO_INC,-0.0772,0.0772
DTI,0.0591,0.0591
EDUC,-0.0563,0.0563
FINLIT,0.033,0.033
FAMSTRUCT,-0.0302,0.0302
HOUSECL,0.0253,0.0253
LIQ,-0.0222,0.0222
PAYMENT_TO_INC,0.0124,0.0124
FOOD_RATIO,0.0112,0.0112
ASSET,-0.0103,0.0103
CCBAL,-0.0017,0.0017
NETWORTH,0.001,0.001
